id name province latitude longitude
11168 11168 PI 10.54164 43.67697189554928
6399 6399 FI 11.176954 43.76122
2091 2091 FI 11.190289 43.615124
8696 8696 PI 10.283643 43.651093
9497 9497 PI 10.28531 43.64994
8628 8628 PI 10.547779 43.67640312853171
10874 10874 LI 10.326775 43.510277
8899 8899 PI 10.399761 43.717545
3920 3920 SI 11.33024 43.31658
8040 8040 PI 10.279739 43.659443
8069 8069 PI 10.466589 43.74894
9604 9604 PI 10.543081 43.67678090244332
10368 10368 LI 10.530969 43.2894
6693 6693 FI 11.29725 43.768215
12447 12447 AR 11.921345 43.343056
13123 13123 GR 10.771692 42.913193
14691 14691 LU 10.224558 43.910545
12745 12745 AR 11.98576 43.27681
10463 10463 LI 10.396075 42.765087
10608 10608 LI 10.397759 42.766182
10643 10643 LI 10.376677 42.745758
10838 10838 LI 10.396955 42.765347
2462 2462 FI 11.161975 43.511406
12924 12924 GR 10.880933 42.762974
13142 13142 GR 10.881726 42.764416
1034 1034 FI 11.26443 43.78458
19 19 FI 11.240511 43.77159
10339 10339 LI 10.121322 42.748047
10504 10504 LI 10.124083 42.74833
10701 10701 LI 10.175134 42.73719
534 534 PT 11.003827 43.905228
641 641 PT 11.005546 43.904713
3000 3000 PT 10.80914 43.882076
3308 3308 PT 11.00368 43.9045
7189 7189 MS 10.140114 44.048138
657 657 PT 10.772582 43.88313
3629 3629 SI 11.148125 43.482395
6282 6282 FI 10.935808 43.728302
1931 1931 FI 11.25743 43.768486
2417 2417 FI 11.254861 43.768623
13834 13834 GR 10.893738 42.85079
10742 10742 LI 10.312236 43.549683
3721 3721 SI 11.287945 43.46878
5519 5519 SI 11.3312 43.318317
14986 14986 LU 10.243957 43.86495
14801 14801 LU 10.242061 43.86918
2285 2285 FI 11.254463 43.776638
2702 2702 PT 10.901311 43.953705
390 390 PT 10.92063 44.00487
13380 13380 GR 10.857245 42.767258
13490 13490 AR 11.88692 43.46182
13103 13103 GR 11.119177 42.759377
2901 2901 PT 10.75242 43.90833
3628 3628 SI 11.381156 43.516655
2277 2277 FI 11.317305 43.58193
9396 9396 PO 11.08283 43.86277
1834 1834 FI 11.246711 43.769066
12777 12777 AR 11.625635 43.49119
13295 13295 GR 10.770522 42.914303
3715 3715 SI 11.900446 42.964
13188 13188 GR 10.757619 42.92182
13843 13843 GR 11.087909 42.71787
4045 4045 SI 11.742965 43.215282
13105 13105 GR 10.790974 42.889572
13374 13374 GR 10.888036 43.05012
8703 8703 PI 10.372211 43.731953
13943 13943 LU 10.19939 43.976307
4152 4152 SI 11.332181 43.31873
4948 4948 SI 11.355303 43.316532
5315 5315 SI 11.32925 43.3042
3672 3672 SI 11.330241 43.318367
3993 3993 SI 11.330781 43.320217
5722 5722 SI 11.330747 43.3227
4739 4739 SI 11.31735 43.30676
4894 4894 SI 11.330721 43.31772
5236 5236 SI 11.317 43.31011
5349 5349 SI 11.330627 43.31786
13019 13019 GR 11.061183 42.755825
12958 12958 GR 11.085685 42.94379
13694 13694 GR 10.982663 42.714996
13283 13283 GR 10.97386 42.72549
12949 12949 GR 11.02354 42.706455
13258 13258 GR 11.00012 42.6959
13705 13705 GR 11.001123 42.805176
8769 8769 PI 10.293046 43.603546
1130 1130 GR 10.981727 42.718613
7314 7314 FI 11.187253 43.80816
1114 1114 GR 10.844732 42.77426
295 295 GR 10.881627 42.763695
489 489 GR 10.882036 42.763435
6570 6570 FI 11.225042 43.791084
12113 12113 AR 11.585563 43.55134
13560 13560 AR 11.559371 43.535725
